City,Propiedades,Precio_Promedio,Precio_Mediano,Precio_Min,Precio_Max,Area_Promedio,Habitaciones_Prom
chattogram,1470,12572662.323129252,7116000.0,66,532000000,1564.5138504155125,3.320547945205479
cumilla,145,5621105.517241379,5510000.0,3000000,50000000,1301.6159420289855,2.854014598540146
dhaka,1650,15016226.242424242,8250000.0,2000000,500000000,1611.2922690131993,3.04306864064603
gazipur,180,10486826.5,4500000.0,1500000,272000000,6166.522988505747,2.907801418439716
narayanganj-city,420,6178883.333333333,4575000.0,2500000,30000000,2939.966587112172,2.8
