Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,Price_in_taka
,2.0,2.0,6.0,vacant,800.0,dhaka,"North Circular Road, Dhanmondi","৳6,950,000"
,4.0,4.0,5.0,vacant,2000.0,dhaka,"Block B, Bashundhara R-A","৳22,000,000"
,3.0,3.0,4.0,vacant,1593.0,dhaka,"Block B, Lalmatia","৳21,500,000"
,3.0,2.0,6.0,vacant,1220.0,dhaka,"West Shewrapara, Mirpur","৳5,000,000"
,2.0,2.0,1.0,vacant,1040.0,dhaka,"Section 15, Mirpur","৳6,500,000"
,3.0,3.0,4.0,vacant,1620.0,dhaka,"Block C, Khilgaon","৳16,500,000"
,3.0,3.0,4.0,vacant,1550.0,dhaka,"Block I, Bashundhara R-A","৳14,500,000"
,2.0,2.0,5.0,vacant,1000.0,dhaka,"Pallabi, Mirpur","৳5,500,000"
,3.043068640646029,2.89771197846568,3.0,vacant,1840.0,dhaka,"Hatir Jheel Link Road, Tejgaon","৳46,000,000"
,2.0,2.0,2.0,vacant,740.0,dhaka,"Pirerbag, Mirpur","৳4,000,000"
,3.0,3.0,6.0,vacant,1250.0,dhaka,"Section 10, Mirpur","৳7,800,000"
,3.0,3.0,5.0,vacant,1430.0,dhaka,"Block J, Bashundhara R-A","৳12,000,000"
,3.0,3.0,1.0,vacant,1690.0,dhaka,"Boro Maghbazar, Maghbazar","৳14,800,000"
,3.0,3.0,1.0,vacant,1330.0,dhaka,"Block B, Banasree","৳7,900,000"
,3.0,3.0,2.0,vacant,1230.0,dhaka,"East Shewrapara, Mirpur","৳7,400,000"
,3.0,3.0,7.0,vacant,1700.0,dhaka,"Sector 7, Uttara","৳17,000,000"
,3.0,3.0,6.0,vacant,1300.0,dhaka,"Sector 10, Uttara","৳8,000,000"
,3.0,2.0,6.0,vacant,1175.0,dhaka,"Pirerbag, Mirpur","৳6,300,000"
,3.0,3.0,6.0,vacant,1265.0,dhaka,"East Monipur, Mirpur","৳8,500,000"
,3.0,2.0,7.0,vacant,1000.0,dhaka,"Pirerbag, Mirpur","৳5,700,000"
,3.0,3.0,1.0,vacant,1554.0,dhaka,"Pallabi, Mirpur","৳11,500,000"
,3.0,3.0,8.0,vacant,1570.0,dhaka,"Imandipur, Savar","৳5,600,000"
,3.0,2.0,5.0,vacant,1050.0,dhaka,"East Monipur, Mirpur","৳4,500,000"
,2.0,2.0,6.0,vacant,815.0,dhaka,"East Monipur, Mirpur","৳4,200,000"
,4.0,5.0,7.0,vacant,2553.0,dhaka,"Sector 5, Uttara","৳38,000,000"
,3.0,3.0,6.0,vacant,1590.0,dhaka,"Block B, Banasree","৳11,200,000"
,4.0,4.0,4.0,vacant,2000.0,dhaka,"Block A, Banasree","৳21,500,000"
,2.0,2.0,4.0,vacant,800.0,dhaka,"Block J, Bashundhara R-A","৳8,600,000"
,3.0,4.0,3.0,vacant,1960.0,dhaka,"Gulshan 1, Gulshan","৳39,000,000"
,3.0,3.0,1.0,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan","৳16,900,000"
,3.0,3.0,6.0,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi","৳12,500,000"
,3.0,3.0,4.0,vacant,2125.0,dhaka,"Block L, Bashundhara R-A","৳20,000,000"
,3.0,3.0,4.0,vacant,2687.0,dhaka,"Road No 25, Banani","৳47,500,000"
,3.0,3.0,3.0,vacant,1150.0,dhaka,"Middle Badda, Badda","৳8,800,000"
,3.0,3.0,8.0,vacant,2119.0,dhaka,"Block B, Bashundhara R-A","৳19,000,000"
,4.0,4.0,2.0,vacant,2318.0,dhaka,"Block D, Bashundhara R-A","৳23,000,000"
,3.0,3.0,8.0,vacant,1397.0,dhaka,"Matuail, Demra","৳8,000,000"
,3.0,3.0,1.0,vacant,2400.0,dhaka,"Block H, Aftab Nagar","৳20,000,000"
,3.0,3.0,3.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,4.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,6.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur","৳8,000,000"
,3.0,3.0,1.0,vacant,1900.0,dhaka,"Block B, Bashundhara R-A","৳21,000,000"
,3.0,3.0,5.0,vacant,1500.0,dhaka,"Block H, Aftab Nagar","৳11,000,000"
,3.0,3.0,3.0,vacant,1450.0,dhaka,"Sector 10, Uttara","৳9,500,000"
,2.0,2.0,2.0,vacant,750.0,dhaka,"Sector 10, Uttara","৳6,200,000"
,3.0,3.0,4.0,vacant,2343.0,dhaka,"Sector 6, Uttara","৳22,000,000"
,3.0,3.0,2.0,vacant,1350.0,dhaka,"Free School Street, Kathalbagan","৳14,200,000"
,3.0,3.0,5.0,vacant,1200.0,dhaka,"Pallabi, Mirpur","৳7,500,000"
,3.0,3.0,1.0,vacant,2045.0,dhaka,"Sector 7, Uttara","৳23,625,000"
,3.0,3.0,1.0,vacant,1500.0,dhaka,"Block C, Niketan","৳25,000,000"
,3.0,3.0,4.0,vacant,1410.0,dhaka,"Vashani Goli, Shantinagar","৳13,800,000"
,2.0,2.0,5.0,vacant,650.0,dhaka,"Gandaria, Sutrapur","৳4,000,000"
