Dormitorios,Banos,Piso,Estado_ocupacion,Area_m2,Ciudad,Ubicacion,Precio_Takas,Categoria_precio,Precio_por_m2
3,3,4,vacant,1620.0,Dhaka,"Block C, Khilgaon",16500000,Alto,10185.0
3,3,4,vacant,1550.0,Dhaka,"Block I, Bashundhara R-A",14500000,Alto,9355.0
2,2,5,vacant,1000.0,Dhaka,"Pallabi, Mirpur",5500000,Medio,5500.0
3,3,3,vacant,1840.0,Dhaka,"Hatir Jheel Link Road, Tejgaon",46000000,Alto,25000.0
2,2,2,vacant,740.0,Dhaka,"Pirerbag, Mirpur",4000000,Bajo,5405.0
3,3,6,vacant,1250.0,Dhaka,"Section 10, Mirpur",7800000,Medio,6240.0
3,3,5,vacant,1430.0,Dhaka,"Block J, Bashundhara R-A",12000000,Medio,8392.0
3,3,1,vacant,1690.0,Dhaka,"Boro Maghbazar, Maghbazar",14800000,Alto,8757.0
3,3,1,vacant,1330.0,Dhaka,"Block B, Banasree",7900000,Medio,5940.0
3,3,2,vacant,1230.0,Dhaka,"East Shewrapara, Mirpur",7400000,Medio,6016.0
3,3,7,vacant,1700.0,Dhaka,"Sector 7, Uttara",17000000,Alto,10000.0
3,3,6,vacant,1300.0,Dhaka,"Sector 10, Uttara",8000000,Medio,6154.0
3,2,6,vacant,1175.0,Dhaka,"Pirerbag, Mirpur",6300000,Medio,5362.0
3,3,6,vacant,1265.0,Dhaka,"East Monipur, Mirpur",8500000,Medio,6719.0
3,2,7,vacant,1000.0,Dhaka,"Pirerbag, Mirpur",5700000,Medio,5700.0
3,3,1,vacant,1554.0,Dhaka,"Pallabi, Mirpur",11500000,Medio,7400.0
3,3,8,vacant,1570.0,Dhaka,"Imandipur, Savar",5600000,Medio,3567.0
3,2,5,vacant,1050.0,Dhaka,"East Monipur, Mirpur",4500000,Bajo,4286.0
2,2,6,vacant,815.0,Dhaka,"East Monipur, Mirpur",4200000,Bajo,5153.0
4,5,7,vacant,2553.0,Dhaka,"Sector 5, Uttara",38000000,Alto,14884.0
3,3,6,vacant,1590.0,Dhaka,"Block B, Banasree",11200000,Medio,7044.0
4,4,4,vacant,2000.0,Dhaka,"Block A, Banasree",21500000,Alto,10750.0
2,2,4,vacant,800.0,Dhaka,"Block J, Bashundhara R-A",8600000,Medio,10750.0
3,4,3,vacant,1960.0,Dhaka,"Gulshan 1, Gulshan",39000000,Alto,19898.0
3,3,1,vacant,1705.0,Dhaka,"Lake Circus Road, Kalabagan",16900000,Alto,9912.0
3,3,6,vacant,1370.0,Dhaka,"Shukrabad, Dhanmondi",12500000,Medio,9124.0
3,3,4,vacant,2125.0,Dhaka,"Block L, Bashundhara R-A",20000000,Alto,9412.0
3,3,4,vacant,2687.0,Dhaka,"Road No 25, Banani",47500000,Alto,17678.0
3,3,3,vacant,1150.0,Dhaka,"Middle Badda, Badda",8800000,Medio,7652.0
3,3,8,vacant,2119.0,Dhaka,"Block B, Bashundhara R-A",19000000,Alto,8966.0
4,4,2,vacant,2318.0,Dhaka,"Block D, Bashundhara R-A",23000000,Alto,9922.0
3,3,8,vacant,1397.0,Dhaka,"Matuail, Demra",8000000,Medio,5727.0
3,3,1,vacant,2400.0,Dhaka,"Block H, Aftab Nagar",20000000,Alto,8333.0
3,3,3,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,4,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,6,vacant,1300.0,Dhaka,"West Dolairpar, Shyampur",8000000,Medio,6154.0
3,3,1,vacant,1900.0,Dhaka,"Block B, Bashundhara R-A",21000000,Alto,11053.0
3,3,5,vacant,1500.0,Dhaka,"Block H, Aftab Nagar",11000000,Medio,7333.0
3,3,3,vacant,1450.0,Dhaka,"Sector 10, Uttara",9500000,Medio,6552.0
2,2,2,vacant,750.0,Dhaka,"Sector 10, Uttara",6200000,Medio,8267.0
3,3,4,vacant,2343.0,Dhaka,"Sector 6, Uttara",22000000,Alto,9390.0
3,3,2,vacant,1350.0,Dhaka,"Free School Street, Kathalbagan",14200000,Alto,10519.0
3,3,5,vacant,1200.0,Dhaka,"Pallabi, Mirpur",7500000,Medio,6250.0
3,3,1,vacant,2045.0,Dhaka,"Sector 7, Uttara",23625000,Alto,11553.0
3,3,1,vacant,1500.0,Dhaka,"Block C, Niketan",25000000,Alto,16667.0
3,3,4,vacant,1410.0,Dhaka,"Vashani Goli, Shantinagar",13800000,Alto,9787.0
2,2,5,vacant,650.0,Dhaka,"Gandaria, Sutrapur",4000000,Bajo,6154.0
3,3,5,vacant,1185.0,Dhaka,"Lake Circus Road, Kalabagan",11000000,Medio,9283.0
3,3,4,vacant,1610.0,Dhaka,"Block H, Bashundhara R-A",13100000,Alto,8137.0
4,4,7,vacant,2180.0,Dhaka,"Block J, Bashundhara R-A",17500000,Alto,8028.0
4,4,2,vacant,3650.0,Dhaka,"Gulshan 2, Gulshan",78000000,Alto,21370.0
3,3,3,vacant,2700.0,Dhaka,"Gulshan 1, Gulshan",55000000,Alto,20370.0
3,2,2,vacant,1175.0,Dhaka,"Baitul Aman Housing Society, Adabor",8300000,Medio,7064.0
2,2,1,vacant,650.0,Dhaka,"Section 6, Mirpur",3100000,Bajo,4769.0
3,4,1,vacant,1331.0,Dhaka,"Sector 4, Uttara",16000000,Alto,12021.0
2,2,4,vacant,900.0,Dhaka,"Nobodoy Housing Society, Mohammadpur",4500000,Bajo,5000.0
3,2,2,vacant,950.0,Dhaka,"Gulbag, Malibagh",6000000,Medio,6316.0
2,2,6,vacant,1230.0,Dhaka,"West Shewrapara, Mirpur",5000000,Bajo,4065.0
3,2,7,vacant,1150.0,Dhaka,"Middle Monipur, Mirpur",6500000,Medio,5652.0
3,2,7,vacant,1150.0,Dhaka,"Middle Monipur, Mirpur",6500000,Medio,5652.0
3,3,7,vacant,1150.0,Dhaka,"Manikdi, Cantonment",6700000,Medio,5826.0
3,3,2,vacant,1250.0,Dhaka,"East Kazipara, Mirpur",7600000,Medio,6080.0
2,2,2,vacant,860.0,Dhaka,"Rupnagar R/A, Mirpur",4900000,Bajo,5698.0
3,2,1,vacant,1050.0,Dhaka,"West Kazipara, Mirpur",6200000,Medio,5905.0
4,4,10,vacant,3355.0,Dhaka,"Sector 4, Uttara",39000000,Alto,11624.0
3,3,5,vacant,1375.0,Dhaka,"Section 6, Mirpur",12100000,Medio,8800.0
3,2,2,vacant,900.0,Dhaka,"Pirerbag, Mirpur",5000000,Bajo,5556.0
3,3,5,vacant,1008.0,Dhaka,"Section 10, Mirpur",4838400,Bajo,4800.0
3,2,3,vacant,1055.0,Dhaka,"Moushair, Dakshin Khan",5300000,Medio,5024.0
3,3,5,vacant,1800.0,Dhaka,"Block F, Bashundhara R-A",16000000,Alto,8889.0
3,3,2,vacant,1250.0,Dhaka,"Ahmed Nagar, Mirpur",5250000,Medio,4200.0
8,4,1,vacant,2146.0,Dhaka,"Ashulia, Savar",10500000,Medio,4893.0
3,2,9,vacant,900.0,Dhaka,"Hemayetpur, Savar",2900000,Bajo,3222.0
2,2,6,vacant,1050.0,Dhaka,"Radio Colony, Savar",3360000,Bajo,3200.0
3,3,2,vacant,1250.0,Dhaka,"Block C, Bashundhara R-A",11500000,Medio,9200.0
3,3,9,vacant,1675.0,Dhaka,"Section 1, Mirpur",9712500,Medio,5799.0
3,3,1,vacant,1300.0,Dhaka,"Ahmed Nagar, Mirpur",7500000,Medio,5769.0
3,4,1,vacant,2787.0,Dhaka,"Road No 12A, Dhanmondi",29000000,Alto,10405.0
4,4,9,vacant,5040.0,Dhaka,"Block C, Bashundhara R-A",54000000,Alto,10714.0
